Subject	StroopEffect_RT	StroopEffect_ACC	StroopBin
12000	98.54628813260456	-0.00925925925925919	5.5
12002	136.5	0	6.148148148148148
12006	15.00476190476195	0.02777777777777779	3.7037037037037037
12008	102.24004845967454	0.0092592592592593	5.37037037037037
12010	167.32534178720027	-0.04629629629629628	6.722222222222222
12012	123.12517006802727	-0.06481481481481477	6.62962962962963
12013	10.543509528946402	0.04629629629629628	4.12962962962963
12014	146.2037037037037	-0.05555555555555558	6.388888888888889
12015	83.46109613656779	0.0092592592592593	5.2407407407407405
12016	21.205750224618214	0.0092592592592593	4.5
12018	163.9275710284113	-0.03703703703703698	6.62962962962963
12021	75.71651090342687	0.0092592592592593	4.833333333333333
12022	232.17042330951085	-0.04629629629629628	6.2592592592592595
12023	165.46091644204853	-0.07407407407407407	7.2407407407407405
12024	87.81723779854622	0.0092592592592593	5.2592592592592595
12025	152.8599419448476	-0.0185185185185186	6.537037037037037
12027	150.60923999294653	-0.00925925925925919	5.796296296296297
12028	283.68468085106383	-0.05555555555555558	7.773584905660377
12029	173.09605399792304	0.0092592592592593	5.277777777777778
12030	96.87450980392157	-0.11111111111111105	7.333333333333333
12033	61.38031816500188	0.03703703703703709	5.166666666666667
12034	277.764105226722	0.0092592592592593	6.962962962962963
12035	90.14593817397554	-0.02777777777777779	5.037037037037037
12038	215.5168400634809	-0.00925925925925919	5.314814814814815
12039	241.80311299777645	0.03703703703703698	7.203703703703703
12040	300.9814814814815	0	6.962962962962963
12041	-27.032738095238187	-0.08333333333333337	5.425925925925926
12043	223.6134720507847	-0.00925925925925919	6.62962962962963
12048	80.32075471698113	0	5.425925925925926
12049	161.1006289308176	0.03703703703703709	5.925925925925926
12050	177.13560975609767	-0.16666666666666663	9.37037037037037
12051	159.91111111111104	-0.07407407407407407	7.055555555555555
12052	263.0003770739065	-0.01851851851851849	7.277777777777778
12053	92.38475368572449	0.04629629629629628	5.2407407407407405
12056	236.78039215686272	-0.01851851851851849	7.518518518518518
12057	35.082900657667096	0.0092592592592593	4.2592592592592595
12058	37.61828737300425	-0.0185185185185186	4.722222222222222
12059	158.52265914300824	-0.00925925925925919	6.055555555555555
12060	192.9519230769231	0	6.555555555555555
12061	232.5396575821104	-0.01851851851851849	6.777777777777778
12062	152.37037037037044	0	5.314814814814815
12063	185.35988819007696	-0.01851851851851849	6.62962962962963
12064	4.133076923076942	-0.03703703703703698	5.092592592592593
12065	123.83211041229913	-0.01851851851851849	5.7592592592592595
12068	144.16666666666674	0	5.925925925925926
12069	42.44115610938047	0.0092592592592593	4.537037037037037
12070	16.54380721090979	0.04629629629629628	4.462962962962963
12071	154.461215932914	0.01851851851851849	5.574074074074074
12072	99.36501498853818	-0.00925925925925919	5.37037037037037
12076	111.53598881900768	-0.01851851851851849	5.574074074074074
12078	-259.14054366685957	-0.13888888888888884	5.787234042553192
12080	150.6885910774114	-0.00925925925925919	5.833333333333333
12081	94.86111111111109	0	5.111111111111111
12084	160.27282913165266	-0.02777777777777779	6.907407407407407
12086	140.4159544159545	-0.03703703703703709	4.685185185185185
12087	2.4079501740245632	0.02777777777777779	4.203703703703703
12089	-49.69115384615384	-0.03703703703703698	4.113207547169812
12092	390.7252112966398	-0.00925925925925919	5.615384615384615
12094	242.00073991860893	-0.03703703703703709	7.833333333333333
12095	-2.302930402930315	-0.0092592592592593	4.444444444444445
12096	156.17316169987657	-0.00925925925925919	6.166666666666667
12097	172.77647058823527	-0.02777777777777779	6.703703703703703
12098	212.79419986023754	0.01851851851851849	6.703703703703703
12101	572.6179724542785	-0.15740740740740744	8.08
12102	150.714074074074	-0.07407407407407407	6.407407407407407
12103	-23.85190325138774	0.06481481481481477	3.5185185185185186
12104	152.4771428571429	-0.04629629629629628	6.685185185185185
12105	169.81315633049337	-0.04629629629629628	7.611111111111111
12107	152.92703703703705	-0.07407407407407407	6.907407407407407
12109	262.9414744933613	-0.01851851851851849	7.185185185185185
12110	117.26075471698118	-0.05555555555555558	6.648148148148148
12112	182.34800838574438	0.01851851851851849	5.185185185185185
12113	193.26011904761913	-0.08333333333333337	6.925925925925926
12116	268.79126213592235	0.04629629629629628	7.092592592592593
12117	119.65099715099711	-0.03703703703703709	5.925925925925926
12118	129.64364079642428	-0.13888888888888884	7.7592592592592595
12119	151.86492374727663	-0.05555555555555558	6.5
12120	171.55929487179492	-0.07407407407407407	7.333333333333333
