Subject	Antisaccade_ACC.mean	Antisaccade_RT.mean
12000	0.9166666666666666	444.8958333333333
12002	0.875	462.8125
12006	0.9166666666666666	552.125
12008	0.6875	567.4583333333334
12010	0.9583333333333334	446.8125
12012	0.9791666666666666	444.7916666666667
12013	0.9375	492.2916666666667
12014	0.8958333333333334	1061.3541666666667
12015	0.875	400.3125
12016	0.8541666666666666	565.3541666666666
12018	0.625	545.5416666666666
12021	0.9791666666666666	437.7083333333333
12022	0.9375	737.9583333333334
12023	0.8125	473.25
12024	1	395.1041666666667
12025	0.9791666666666666	1003.1041666666666
12027	0.8333333333333334	696.375
12028	0.625	540.4583333333334
12029	0.6875	877.4791666666666
12030	0.8958333333333334	508.2708333333333
12033	1	399.625
12034	0.5	1383.2916666666667
12038	0.7708333333333334	509.3958333333333
12039	0.8541666666666666	532.7916666666666
12040	0.8541666666666666	1072.4166666666667
12041	0.8958333333333334	487.8958333333333
12043	0.8541666666666666	536.0208333333334
12047	0.8958333333333334	439.9583333333333
12048	0.75	1227.3958333333333
12049	0.9583333333333334	412.5416666666667
12050	0.4583333333333333	1014.7916666666666
12051	0.875	1106.3541666666667
12052	0.9583333333333334	1026.6458333333333
12053	0.9375	690.5833333333334
12057	0.8958333333333334	535.1875
12058	0.8541666666666666	543.6458333333334
12059	0.8125	535.7083333333334
12060	1	381.4791666666667
12061	0.6666666666666666	802.2291666666666
12062	0.875	661.8541666666666
12063	0.9791666666666666	444.875
12064	0.9791666666666666	460.375
12065	0.7708333333333334	572.3333333333334
12068	0.9583333333333334	473.375
12069	1	348.4375
12070	0.6875	559.4166666666666
12071	0.7916666666666666	633.0625
12072	0.9583333333333334	471.0833333333333
12076	0.9375	853.0833333333334
12078	0.75	542.2083333333334
12080	0.9791666666666666	590.2708333333334
12081	0.9791666666666666	476.4583333333333
12083	0.8333333333333334	606.6875
12084	0.8333333333333334	731.4375
12087	0.875	554.7291666666666
12089	0.9375	760.2291666666666
12092	1	424.9166666666667
12094	0.8333333333333334	488.3958333333333
12095	0.8958333333333334	471.875
12096	0.4583333333333333	531.2083333333334
12097	0.9166666666666666	459.6041666666667
12098	0.9375	452.5
12101	0.9583333333333334	631.7291666666666
12102	0.9375	514.3958333333334
12103	0.5416666666666666	1324.5416666666667
12104	0.4791666666666667	591.6875
12105	0.6875	730.5416666666666
12107	0.9583333333333334	451.625
12109	0.9791666666666666	370.4583333333333
12110	0.6041666666666666	1083.0208333333333
12112	0.8125	610.125
12113	0.6458333333333334	644.2708333333334
12115	0.6875	371.6666666666667
12116	0.8958333333333334	470.8333333333333
12117	0.75	712.4791666666666
12118	0.9791666666666666	301.1041666666667
12121	0.4375	1635.3541666666667
12122	0.7708333333333334	1135.6875
12123	1	881.7916666666666
12124	1	715.3958333333334
12125	0.9583333333333334	361.7916666666667
12126	1	475.9791666666667
12127	0.9166666666666666	520
12129	0.5416666666666666	779.2291666666666
12133	0.6041666666666666	667.8541666666666
12134	0.5833333333333334	558.3541666666666
12135	0.9791666666666666	437.6041666666667
12136	0.9375	356.375
12137	0.8333333333333334	626.4375
12138	0.6458333333333334	1252.6458333333333
12139	0.9166666666666666	560.6041666666666
12140	0.9583333333333334	304.7291666666667
12141	0.5	535.2291666666666
12142	0.4166666666666667	246.45833333333334
12143	0.8125	551.8958333333334
12144	0.9583333333333334	457.2083333333333
12147	0.8958333333333334	860.0208333333334
12148	0.8333333333333334	500.8541666666667
12149	0.9375	560.5208333333334
12150	0.8333333333333334	396.6041666666667
12153	0.4375	1245.1666666666667
12154	0.7916666666666666	586.6458333333334
12155	0.9583333333333334	461.4583333333333
