Subject	congruent_RT.mean	incongruent_RT.mean	neutral_RT.mean	congruent_Accuracy.mean	incongruent_Accuracy.mean	neutral_Accuracy.mean	FlankerEffect_RT	FlankerEffect_ACC	FlankerBin
12000	510.9147238142244	609.3737609149599	529.8802194647474	0.9896907216494846	0.9897959183673469	1	98.45903710073554	1.0519671786235474e-4	5.6938775510204085
12002	494.3688263219189	562.829800950716	472.15117858816797	1	0.9896907216494846	1	68.46097462879715	-0.010309278350515427	4.979381443298969
12006	471.9982981924237	559.381118021168	469.66326530612247	1	0.9897959183673469	1	87.38281982874435	-0.010204081632653073	6.040816326530612
12008	541.8441863321142	622.9746614029661	536.8655280833765	1	1	1	81.13047507085196	0	5.336734693877551
12012	497.8753386645146	596.2804841803415	483.93976934660725	1	0.865979381443299	1	98.40514551582697	-0.134020618556701	7.443298969072165
12013	528.0102561126206	577.2630087542195	512.0409787630675	0.9897959183673469	0.9484536082474226	1	49.25275264159893	-0.041342310119924286	5.453608247422681
12014	607.4020618556701	661.1035371396925	567.8580077149346	0.9897959183673469	0.9896907216494846	1	53.70147528402242	-1.0519671786235474e-4	4.701030927835052
12015	531.6367450771043	570.1927818507252	523.5181778608319	1	0.9791666666666666	0.979381443298969	38.55603677362092	-0.02083333333333337	4.635416666666667
12016	476.1565183087663	575.627430169811	454.067991689841	1	0.9489795918367347	1	99.47091186104467	-0.05102040816326525	6.704081632653061
12018	597.5138957299994	747.6091954022988	575.3361743334839	0.9891304347826086	0.925531914893617	0.9894736842105263	150.09529967229946	-0.06359851988899168	6.851063829787234
12021	399.133377702325	461.79922913335093	404.40204203862504	1	0.9693877551020408	1	62.66585143102594	-0.030612244897959218	5.938775510204081
12022	488.2474226804124	620.3291051855616	467.03754111643076	1	0.9897959183673469	0.9795918367346939	132.08168250514922	-0.010204081632653073	6.285714285714286
12023	600.0102040816327	647.2852283175872	547.2493348757088	1	0.98	1	47.27502423595456	-0.020000000000000018	4.89
12024	482.35566031908655	563.8964756402388	486.7755102040816	1	0.9108910891089109	1	81.54081532115225	-0.08910891089108908	6.8415841584158414
12025	514.4693961154899	594.055570750157	483.09336112524636	1	0.9897959183673469	1	79.58617463466715	-0.010204081632653073	5.5
12027	444.14755574920326	497.5772330577807	454.82474226804123	0.9897959183673469	0.9795918367346939	0.9897959183673469	53.429677308577425	-0.010204081632653073	5.387755102040816
12030	477.46019192017377	551.9021739130435	489.6252364200025	0.9690721649484536	0.9484536082474226	0.9897959183673469	74.44198199286973	-0.020618556701030966	6.474226804123711
12033	470.3129445894596	527.1276595744681	462.84294028992866	0.9897959183673469	0.9591836734693877	0.9897959183673469	56.81471498500849	-0.030612244897959218	5.73469387755102
12034	521.9320388349514	647.0099224258676	492.3542484556603	0.9903846153846154	0.9090909090909091	0.9711538461538461	125.07788359091614	-0.08129370629370636	7.4646464646464645
12035	610.2277227722773	746.2105263157895	596.7218586735898	0.9901960784313726	0.979381443298969	1	135.9828035435122	-0.01081463513240355	6.855670103092783
12038	645.4545374103056	739.5098912900087	593.9160565888083	1	0.9696969696969697	1	94.05535387970303	-0.030303030303030276	6.040404040404041
12040	729.4819444313526	902.967032967033	620.192713025699	1	0.8921568627450981	1	173.48508853568035	-0.10784313725490191	8.235294117647058
12041	472.7527523289702	538.6279069767442	451.360803615955	1	0.8865979381443299	0.9693877551020408	65.87515464777397	-0.11340206185567014	6.969072164948454
12043	545.0595937015567	698.5714285714286	510.0000583054511	1	0.9285714285714286	0.9896907216494846	153.5118348698719	-0.0714285714285714	7.112244897959184
12047	605.2192440199906	645.6621512564479	563.4906025448719	1	0.99	1	40.44290723645736	-0.010000000000000009	4.2
12048	643.8010010584773	732.8722498401605	606.9901080574602	1	0.9895833333333334	1	89.07124878168327	-0.01041666666666663	5.53125
12049	490.8212754432705	560.7523487318285	477.26854945526355	1	0.9795918367346939	1	69.93107328855803	-0.020408163265306145	5.285714285714286
12051	551.441405943671	636.0778257483167	548.0190612050021	1	0.96	1	84.6364198046457	-0.040000000000000036	5.73
12052	544.1020408163265	619.4828483384426	503.56944365739366	1	0.9489795918367347	0.9897959183673469	75.38080752211613	-0.05102040816326525	5.714285714285714
12053	581.4169938377967	694.4166666666666	576.5907568883647	0.9795918367346939	0.875	0.96875	112.99967282886996	-0.10459183673469385	6.979166666666667
12057	574.020618556701	663.84375	556.3451104139145	1	0.9795918367346939	1	89.82313144329896	-0.020408163265306145	5.653061224489796
12058	604.6015337862588	618.3902031048162	556.9394000708194	1	0.9787234042553191	1	13.788669318557481	-0.021276595744680882	3.8404255319148937
12059	440.1807134173983	512.2099549071462	435.9272618075523	1	0.96	0.99	72.0292414897479	-0.040000000000000036	6.26
12060	498.64760298759944	582.1578258809182	486.0836172639917	0.9896907216494846	0.9591836734693877	1	83.51022289331871	-0.030507048180096863	6.224489795918367
12061	570.3063314912182	698.8969072164948	531.3462061284515	1	0.9897959183673469	1	128.5905757252766	-0.010204081632653073	6.1938775510204085
12062	518.1071892377022	620.7731958762887	489.4226804123711	0.979381443298969	0.9897959183673469	0.9897959183673469	102.66600663858651	0.010414475068377893	5.969387755102041
12063	668.7120480338198	823.9247311827957	646.9067140638306	1	0.9789473684210527	1	155.21268314897588	-0.021052631578947323	6.778947368421052
12064	430.25648781446614	468.0672469475498	421.83141386784735	1	0.9693877551020408	0.9897959183673469	37.81075913308365	-0.030612244897959218	4.887755102040816
12065	452.75928262006585	545.1571263737476	456.935799060504	1	0.9489795918367347	0.9897959183673469	92.39784375368174	-0.05102040816326525	7
12068	628.6927339265959	756.3775510204082	604.0613554169329	1	0.98989898989899	1	127.68481709381228	-0.010101010101010055	5.888888888888889
12069	509.65926512376905	569.0707401051942	469.4534805876043	1	0.9690721649484536	0.9896907216494846	59.41147498142516	-0.030927835051546393	5.216494845360825
12070	459.443467417782	549.2406830825745	462.12380419458856	0.9905660377358491	0.9019607843137255	0.9714285714285714	89.79721566479247	-0.08860525342212355	7.0588235294117645
12071	491.7847157035226	545.7968288901383	483.5776499630449	0.9795918367346939	0.9591836734693877	0.9690721649484536	54.01211318661569	-0.020408163265306145	5.530612244897959
12072	590.5338080486847	649.7538098290429	535.6868934797066	1	1	1	59.22000178035819	0	4.376344086021505
12076	405.19559035390273	472.96101227577674	411.9859955321728	1	0.9897959183673469	1	67.76542192187401	-0.010204081632653073	5.653061224489796
12078	471.82185169991095	544.2268930339537	455.6008278541054	1	0.9052631578947369	1	72.40504133404278	-0.09473684210526312	6.631578947368421
12080	462.1107315959792	539.7492867598148	438.19659539714814	1	0.9484536082474226	1	77.63855516383563	-0.05154639175257736	6.309278350515464
12081	488.68045801966844	573.7660955752282	502.7743849494213	1	1	0.9897959183673469	85.08563755555974	0	5.755102040816326
12083	668.5232558139535	785.1594202898551	667.3176470588236	0.9772727272727273	0.8961038961038961	1	116.63616447590164	-0.08116883116883122	7.064935064935065
12084	657.1847826086956	702.1935483870968	631.2717391304348	0.989247311827957	0.96875	0.989247311827957	45.0087657784012	-0.020497311827957	4.614583333333333
12087	552.9099655449539	647.2915514010017	545.2263387234291	0.9897959183673469	0.979381443298969	1	94.38158585604776	-0.010414475068377893	5.824742268041237
12089	555.2870649161915	617.6043818853492	540.9614277989717	1	0.95	1	62.31731696915767	-0.050000000000000044	5.57
12092	536.9000013880553	565.2071341968189	520.473964677313	0.9897959183673469	1	1	28.307132808763527	0.010204081632653073	4.061224489795919
12094	558.7186325207902	615.40625	541.0203162138874	0.9897959183673469	0.9896907216494846	1	56.68761747920985	-1.0519671786235474e-4	5.164948453608248
12095	489.6309266033129	613.8085106382979	463.74257217024604	1	0.9690721649484536	1	124.17758403498499	-0.030927835051546393	6.845360824742268
12096	611.2493242019677	690.6979166666666	587.0776343706854	1	0.9896907216494846	0.9795918367346939	79.44859246469889	-0.010309278350515427	5.092783505154639
12097	523.6801502938571	570.1680656274401	508.1295720207524	0.979381443298969	0.9795918367346939	0.9693877551020408	46.48791533358303	2.103934357248205e-4	4.76530612244898
12098	627.9636088335791	800.5	611.4845360824743	1	0.9894736842105263	1	172.5363911664209	-0.010526315789473717	7.242105263157895
12101	688.9010989010989	769.5217391304348	642.1250841802648	0.9891304347826086	0.9583333333333334	1	80.62064022933589	-0.030797101449275277	5.71875
12102	555.841735159393	594.5274541396186	510.18016818306086	0.9795918367346939	0.9795918367346939	0.9896907216494846	38.6857189802256	0	4.928571428571429
12104	535.1625845522719	667.3837209302326	524.2149847434468	0.9787234042553191	0.945054945054945	0.9894736842105263	132.22113637796065	-0.03366845920037409	7.208791208791209
12105	577.230265176436	622.9677419354839	514.2448979591836	1	0.9587628865979382	1	45.73747675904792	-0.04123711340206182	5
12107	595.4423312406923	632.3163265306123	576.781485372206	1	1	1	36.87399528992	0	4.5
12109	473.42215392379177	566.4703700196308	438.0342622019656	1	0.9795918367346939	1	93.048216095839	-0.020408163265306145	6.163265306122449
12110	536.1122448979592	630.0444108421499	520.908103316899	1	0.9795918367346939	1	93.93216594419073	-0.020408163265306145	6.387755102040816
12112	589.6406721604833	636.6899839561478	610.8450066689397	0.979381443298969	0.9795918367346939	0.99	47.049311795664494	2.103934357248205e-4	5.071428571428571
12113	577.1170015094837	704.5747126436781	594.7143049818928	0.9789473684210527	0.9354838709677419	0.968421052631579	127.45771113419448	-0.043463497453310795	6.548387096774194
12115	651.688741802122	788.8795180722891	584.0366175662093	0.9888888888888889	0.8924731182795699	0.967741935483871	137.19077627016713	-0.09641577060931905	7.462365591397849
12116	480.2647453917825	530.168249260135	486.6074215965813	0.9897959183673469	0.9587628865979382	0.9795918367346939	49.90350386835246	-0.031033031769408748	5.474226804123711
12117	495.12371134020617	581.2998438921853	503.3000355429816	0.9897959183673469	0.9484536082474226	1	86.17613255197915	-0.041342310119924286	6.690721649484536
12118	468.5429423167837	572.8889037005304	489.4985084182397	1	0.8571428571428571	1	104.34596138374667	-0.1428571428571429	8.46938775510204
12121	675.9287350839846	812.1789473684211	628.34375	1	0.9693877551020408	0.9795918367346939	136.25021228443643	-0.030612244897959218	6.561224489795919
12123	437.8351051616334	498.84642572298225	445.93111298197675	1	0.96	1	61.01132056134884	-0.040000000000000036	5.69
12124	458.2397911720158	498.30640253002633	441.1326530612245	1	1	1	40.066611358010505	0	4.622448979591836
12125	498.5833262966058	578.8369565217391	485.5208965203418	0.9591836734693877	0.9484536082474226	0.9489795918367347	80.25363022513335	-0.010730065221965068	6.34020618556701
12126	446.7634288066321	501.96875	423.9174458857484	1	0.9795918367346939	1	55.20532119336792	-0.020408163265306145	5.530612244897959
12127	673.4105263157895	760.4756097560976	588.3863355137466	1	0.8817204301075269	0.9690721649484536	87.06508344030806	-0.11827956989247312	6.817204301075269
12129	644.1939292870343	806.8997744526512	647.1062645007108	0.9576271186440678	0.8421052631578947	0.9349593495934959	162.7058451656169	-0.11552185548617311	8.149122807017545
12133	533.8000650546035	593.4007834543295	491.3246196466179	0.979381443298969	0.9693877551020408	0.9693877551020408	59.60071839972602	-0.009993688196928252	5.622448979591836
12134	485.849987283379	559.329874897368	469.62513267366296	0.9897959183673469	0.9897959183673469	1	73.47988761398898	0	5.714285714285714
12135	694.6805555555555	703.6607142857143	640.5671641791045	0.972972972972973	0.835820895522388	0.9571428571428572	8.980158730158792	-0.137152077450585	6.268656716417911
12136	520.7485602882413	585.2272470738947	527.67417066849	1	0.9081632653061225	0.9795918367346939	64.4786867856534	-0.09183673469387754	6.3061224489795915
12137	548.5981623551806	624.1855670103092	514.5103537762135	1	0.9897959183673469	1	75.58740465512858	-0.010204081632653073	5.1938775510204085
12138	574.5886383754153	695.6359320932653	532.0607310169008	1	0.9693877551020408	1	121.04729371785004	-0.030612244897959218	6.479591836734694
12139	708.0309278350516	741.319587628866	686.5510204081633	1	1	1	33.28865979381442	0	4.020618556701031
12140	509.534172622682	563.1164816670595	498.4919234542301	1	1	1	53.582309044377496	0	4.581632653061225
12141	524.4122543305541	641.5222222222222	512.1083322803677	1	0.8910891089108911	0.9509803921568627	117.10996789166813	-0.1089108910891089	7.861386138613861
12142	528.0966279654693	710.8139534883721	564.4864255696315	0.9821428571428571	0.7818181818181819	0.9553571428571429	182.7173255229028	-0.20032467532467524	9.936363636363636
12143	637.9888888888889	725.8571428571429	613.2597404305118	1	0.8333333333333334	0.9746835443037974	87.86825396825395	-0.16666666666666663	7.607142857142857
12144	578.1601614302524	606.5464809803981	530.9424246861599	1	0.98989898989899	1	28.386319550145686	-0.010101010101010055	4.282828282828283
12147	679.2061855670103	760.0337078651686	648.3380611898551	0.97	0.9468085106382979	0.9591836734693877	80.82752229815833	-0.023191489361702122	5.8936170212765955
12148	487.85171833437397	626.8766068241866	458.3890679424341	1	0.9375	0.9897959183673469	139.02488848981267	-0.0625	7.25
12149	582.9573249003881	674.7919260626312	533.8265306122449	1	0.9896907216494846	1	91.83460116224308	-0.010309278350515427	5.56701030927835
12150	490.8926432159028	632.6777777777778	514.4169322083422	0.98	0.9	0.99	141.785134561875	-0.07999999999999996	7.83
12153	636.6201891023208	760.02	610.1433836333839	0.9813084112149533	0.9433962264150944	1	123.39981089767923	-0.03791218479985892	6.849056603773585
12154	638.5133061486385	741.0008076465032	587.5816326530612	1	0.9795918367346939	1	102.48750149786463	-0.020408163265306145	6.561224489795919
12155	592.1979166666666	657.280276530365	585.3917525773196	1	0.9896907216494846	1	65.08235986369834	-0.010309278350515427	5.082474226804123
12160	607.9157831496431	756.4507042253521	582.3460635358778	1	0.8160919540229885	0.9894736842105263	148.534921075709	-0.1839080459770115	8.850574712643677
12161	620.340206185567	706.3333333333334	597	1	0.96875	0.99	85.99312714776636	-0.03125	5.666666666666667
12162	451.90915190361073	497.336506921175	445.40730280520864	1	0.9797979797979798	1	45.42735501756425	-0.02020202020202022	5.02020202020202
12163	605.4381892404847	688.2326182724198	596.6507718010561	1	0.9090909090909091	0.99	82.79442903193512	-0.09090909090909094	6.767676767676767
12166	546.6230929859369	641.5513978673639	503.50399877505345	1	0.9591836734693877	1	94.92830488142704	-0.04081632653061229	6.112244897959184
12167	705.7457644008664	937.6379310344828	663.8589084157501	0.9830508474576272	0.5471698113207547	1	231.8921666336164	-0.43588103613687246	13.10377358490566
12168	602.1896902449402	643.4343361294781	560.8657048089266	0.9897959183673469	1	1	41.24464588453793	0.010204081632653073	4.642857142857143
12171	470.3417502107059	519.9798902880586	449.73169929173423	1	0.95	0.9607843137254902	49.638140077352716	-0.050000000000000044	5.45
12172	572.0459389137441	786.4074074074074	565.3564924327163	0.98	0.8526315789473684	0.98989898989899	214.36146849366332	-0.12736842105263158	9.136842105263158
12173	552.9300743029777	651.0023815853046	532.4003477605601	0.9897959183673469	0.96875	0.9895833333333334	98.07230728232696	-0.021045918367346927	5.78125
12174	604.2011607582339	688.2465320324387	558.3541666666666	1	0.989247311827957	1	84.04537127420485	-0.010752688172043001	5.505376344086022
12176	571.3814432989691	598.2696697944764	583.2947368421053	1	0.979381443298969	0.9693877551020408	26.888226495507297	-0.020618556701030966	4.402061855670103
12177	527.8374328832298	633.9368421052632	534.8308599034044	0.9795918367346939	0.979381443298969	0.9693877551020408	106.09940922203339	-2.103934357248205e-4	5.938144329896907
12178	596.9949350777845	734.265306122449	552.5528936586993	1	1	1	137.27037104466456	0	6.326530612244898
12179	671.8368675336804	705.1443298969073	627.2069280957955	1	1	1	33.30746236322682	0	4.298969072164948
12180	509.77787652104223	635.7034609374133	491.06319238433707	0.9897959183673469	0.9166666666666666	1	125.92558441637107	-0.0731292517006803	7.708333333333333
12181	507.94303841105005	599.1941043954735	487.5602150016486	1	1	0.9897959183673469	91.2510659844234	0	5.6020408163265305
